name,fpts
"DeMarcus Cousins",56.21
"Anthony Davis",53.69
"Giannis Antetokounmpo",48.30
"Kevin Durant",49.63
"John Wall",51.78
"Chris Paul",0.00
"Karl-Anthony Towns",46.61
"Damian Lillard",0.00
"Jimmy Butler",46.05
"Kawhi Leonard",44.94
"Kyle Lowry",44.08
"Stephen Curry",42.31
"Kemba Walker",38.55
"Nicolas Batum",35.44
"Blake Griffin",0.00
"DeMar DeRozan",42.04
"Draymond Green",39.37
"Paul George",39.60
"Carmelo Anthony",36.66
"C.J. McCollum",38.17
"Kristaps Porzingis",36.55
"Paul Millsap",38.68
"Dwight Howard",38.23
"Jeff Teague",38.58
"Andre Drummond",39.42
"DeAndre Jordan",35.76
"Eric Bledsoe",37.31
"Dennis Schroder",35.80
"Jabari Parker",30.93
"LaMarcus Aldridge",33.97
"Brook Lopez",35.17
"Dwyane Wade",37.00
"Andrew Wiggins",33.01
"Klay Thompson",30.98
"Zach LaVine",34.17
"Nikola Jokic",37.17
"Bradley Beal",36.30
"Derrick Rose",31.61
"Myles Turner",32.48
"Jrue Holiday",32.65
"Rudy Gay",0.00
"Serge Ibaka",33.76
"Devin Booker",29.25
"Nikola Vucevic",32.19
"Elfrid Payton",28.21
"Evan Fournier",29.17
"Ricky Rubio",29.48
"Danilo Gallinari",30.33
"Rajon Rondo",31.24
"Otto Porter",31.94
"Jeremy Lin",30.88
"Thaddeus Young",28.36
"Pau Gasol",31.42
"Will Barton",26.60
"Marcin Gortat",33.57
"Mason Plumlee",29.75
"Wilson Chandler",31.12
"Trevor Booker",0.00
"Gorgui Dieng",28.70
"Tobias Harris",28.74
"Kentavious Caldwell-Pope",27.46
"Jonas Valanciunas",29.21
"Sean Kilpatrick",27.94
"Jamal Crawford",30.68
"J.J. Redick",0.00
"Reggie Jackson",27.85
"Markieff Morris",28.15
"Cody Zeller",0.00
"Jon Leuer",27.61
"Taj Gibson",28.05
"Gary Harris",24.86
"Aaron Gordon",23.51
"Austin Rivers",28.40
"Emmanuel Mudiay",25.95
"Kenneth Faried",16.80
"Robin Lopez",25.87
"Michael Kidd-Gilchrist",25.66
"Kent Bazemore",23.06
"Raymond Felton",24.46
"T.J. Warren",14.69
"Thabo Sefolosha",20.48
"Marcus Morris",24.79
"Bojan Bogdanovic",20.91
"Nikola Mirotic",25.15
"Terrence Jones",22.75
"Maurice Harkless",25.12
"Marvin Williams",22.22
"Bismack Biyombo",23.13
"Greg Monroe",22.63
"Tim Frazier",11.99
"Darren Collison",20.79
"Tyson Chandler",24.37
"Marreese Speights",18.39
"Ty Lawson",19.98
"Evan Turner",22.38
"Brandon Knight",21.80
"Tony Parker",20.29
"Joakim Noah",20.57
"John Henson",18.50
"DeMarre Carroll",19.15
"Rondae Hollis-Jefferson",20.78
"Monta Ellis",0.00
"Marco Belinelli",18.96
"Tyreke Evans",14.55
"Al-Farouq Aminu",23.77
"Patty Mills",21.59
"Brandon Jennings",19.10
"Kyle Korver",20.16
"Kyle O'Quinn",0.00
"Cole Aldrich",10.92
"Malcolm Brogdon",16.19
"Norman Powell",7.42
"Patrick Patterson",21.42
"Jodie Meeks",21.45
"Frank Kaminsky",17.22
"Tim Hardaway Jr.",0.00
"Courtney Lee",0.00
"Matthew Dellavedova",19.63
"Aron Baynes",11.44
"Lucas Nogueira",17.05
"Justin Hamilton",0.00
"C.J. Miles",20.46
"Ramon Sessions",0.00
"Jeremy Lamb",22.11
"Luc Richard Mbah a Moute",18.28
"P.J. Tucker",19.09
"David Lee",17.46
"Mike Muscala",14.62
"Cory Joseph",19.96
"Glenn Robinson III",19.98
"Allen Crabbe",20.15
"Danny Green",17.84
"Dewayne Dedmon",16.54
"Alex Len",17.82
"Justin Holiday",18.40
"Terrence Ross",16.89
"D.J. Augustin",17.78
"Garrett Temple",16.94
"Tony Snell",16.42
"Tomas Satoransky",0.00
"Omri Casspi",18.72
"Manu Ginobili",18.97
"Jared Dudley",14.03
"Jameer Nelson",9.52
"Andre Iguodala",17.33
"Isaiah Whitehead",19.34
"Doug McDermott",17.04
"Kelly Oubre Jr.",18.19
"Shabazz Napier",15.86
"Matt Barnes",19.25
"Dragan Bender",0.00
"Kris Humphries",10.67
"Zaza Pachulia",16.54
"Rodney Stuckey",0.00
"Aaron Brooks",0.00
"Al Jefferson",18.25
"Kosta Koufos",16.00
"Ish Smith",16.37
"Michael Beasley",0.00
"Joe Harris",16.51
"Jeff Green",16.15
"E'Twaun Moore",14.90
"Buddy Hield",15.45
"Dante Cunningham",10.72
"Solomon Hill",16.90
"Anthony Tolliver",20.53
"Marquese Chriss",16.24
"Guillermo Hernangomez",0.00
"Jamal Murray",13.30
"Jusuf Nurkic",9.36
"Malcolm Delaney",11.99
"Sasha Vujacic",0.00
"Ron Baker",0.00
"Lance Thomas",0.00
"Ryan Kelly",0.00
"Mindaugas Kuzminskas",0.00
"Taurean Prince",0.00
"DeAndre' Bembry",0.00
"Mike Scott",0.00
"Maurice Ndour",0.00
"Tiago Splitter",0.00
"Marshall Plumlee",0.00
"John Lucas III",0.00
"Kris Dunn",13.71
"Tyus Jones",0.00
"Malik Beasley",0.00
"Shabazz Muhammad",11.86
"Mike Miller",0.00
"Brandon Rush",0.00
"Nemanja Bjelica",13.78
"Alonzo Gee",0.00
"Jordan Hill",0.00
"Darrell Arthur",0.00
"Adreian Payne",0.00
"Juancho Hernangomez",0.00
"Nikola Pekovic",0.00
"Jason Terry",0.00
"Beno Udrih",0.00
"Stanley Johnson",11.87
"Khris Middleton",0.00
"Darrun Hilliard",0.00
"Rashad Vaughn",0.00
"Steve Novak",0.00
"Reggie Bullock",0.00
"Michael Gbinije",0.00
"Mirza Teletovic",13.42
"Henry Ellenson",0.00
"Thon Maker",0.00
"Miles Plumlee",0.00
"Boban Marjanovic",0.00
"Ian Clark",11.65
"Shaun Livingston",0.00
"Fred VanVleet",0.00
"Delon Wright",0.00
"Patrick McCaw",0.00
"Bruno Caboclo",0.00
"David West",0.00
"James Michael McAdoo",0.00
"Kevon Looney",0.00
"Pascal Siakam",8.57
"Anderson Varejao",0.00
"JaVale McGee",0.00
"Jared Sullinger",0.00
"Damian Jones",0.00
"Jakob Poeltl",0.00
"Denzel Valentine",6.68
"Randy Foye",0.00
"Isaiah Canaan",0.00
"Jerian Grant",14.41
"Spencer Dinwiddie",0.00
"Michael Carter-Williams",17.81
"R.J. Hunter",0.00
"Caris LeVert",11.09
"Anthony Bennett",11.15
"Paul Zipser",0.00
"Luis Scola",9.65
"Bobby Portis",10.64
"Chris McCullough",0.00
"Cristiano Felicio",0.00
"Trey Burke",0.00
"Marcus Thornton",0.00
"Joe Young",0.00
"Sheldon McClellan",0.00
"Danuel House",0.00
"Jason Smith",0.00
"Lavoy Allen",0.00
"Rakeem Christmas",0.00
"Georges Niang",0.00
"Ian Mahinmi",0.00
"Andrew Nicholson",0.00
"Kevin Seraphin",0.00
"Daniel Ochefu",0.00
"C.J. Watson",0.00
"Brian Roberts",0.00
"Aaron Harrison",0.00
"C.J. Wilcox",0.00
"Mario Hezonja",0.00
"Treveon Graham",0.00
"Damjan Rudez",0.00
"Spencer Hawes",0.00
"Arinze Onuaku",0.00
"Christian Wood",0.00
"Stephen Zimmerman Jr.",0.00
"Roy Hibbert",0.00
"Reggie Williams",0.00
"Langston Galloway",0.00
"Alan Anderson",0.00
"Wesley Johnson",18.41
"Quincy Pondexter",0.00
"Paul Pierce",0.00
"Brandon Bass",14.90
"Brice Johnson",0.00
"Cheick Diallo",0.00
"Alexis Ajinca",13.81
"Omer Asik",10.78
"Diamond Stone",0.00
"Tim Quarterman",0.00
"Arron Afflalo",0.00
"Ben McLemore",10.70
"Malachi Richardson",0.00
"Pat Connaughton",0.00
"Ed Davis",13.70
"Meyers Leonard",0.00
"Jake Layman",0.00
"Noah Vonleh",0.00
"Skal Labissiere",0.00
"Festus Ezeli",0.00
"Willie Cauley-Stein",10.33
"Georgios Papagiannis",0.00
"Leandro Barbosa",0.00
"Nicolas Laprovittola",0.00
"Bryn Forbes",0.00
"Tyler Ulis",0.00
"Dejounte Murray",0.00
"Jonathon Simmons",9.08
"John Jenkins",0.00
"Kyle Anderson",7.62
"Davis Bertans",0.00
"Derrick Jones Jr.",0.00
"Alan Williams",0.00
