"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Anthony Davis",11000,"NO@Sac 10:30PM ET",57.893,"NO"
"PF/C","DeMarcus Cousins",10400,"NO@Sac 10:30PM ET",44.156,"Sac"
"SF/PF","LeBron James",9900,"Atl@Cle 07:00PM ET",52.125,"Cle"
"PG","Damian Lillard",9100,"Pho@Por 10:00PM ET",48.643,"Por"
"C","Karl-Anthony Towns",8500,"Min@Bkn 07:30PM ET",41.600,"Min"
"PF","Paul Millsap",7900,"Atl@Cle 07:00PM ET",39.583,"Atl"
"C","Dwight Howard",7800,"Atl@Cle 07:00PM ET",40.750,"Atl"
"PG","Kyrie Irving",7400,"Atl@Cle 07:00PM ET",36.542,"Cle"
"PF/C","Kevin Love",7300,"Atl@Cle 07:00PM ET",37.958,"Cle"
"PG/SG","C.J. McCollum",7100,"Pho@Por 10:00PM ET",35.464,"Por"
"C","Marc Gasol",7000,"Den@Mem 08:00PM ET",36.583,"Mem"
"PG","Mike Conley",6900,"Den@Mem 08:00PM ET",37.875,"Mem"
"SF","T.J. Warren",6900,"Pho@Por 10:00PM ET",35.964,"Pho"
"SF","Rudy Gay",6800,"NO@Sac 10:30PM ET",36.393,"Sac"
"PG","Eric Bledsoe",6700,"Pho@Por 10:00PM ET",32.786,"Pho"
"SF","Harrison Barnes",6700,"Dal@LAL 10:30PM ET",31.625,"Dal"
"PF","Julius Randle",6700,"Dal@LAL 10:30PM ET",30.607,"LAL"
"PG","Tim Frazier",6600,"NO@Sac 10:30PM ET",31.607,"NO"
"SG/SF","Devin Booker",6600,"Pho@Por 10:00PM ET",31.583,"Pho"
"PF/C","Gorgui Dieng",6500,"Min@Bkn 07:30PM ET",29.850,"Min"
"C","Brook Lopez",6500,"Min@Bkn 07:30PM ET",28.400,"Bkn"
"PG","Jrue Holiday",6500,"NO@Sac 10:30PM ET",0,"NO"
"PG","D'Angelo Russell",6500,"Dal@LAL 10:30PM ET",29.786,"LAL"
"PG","Jeremy Lin",6400,"Min@Bkn 07:30PM ET",32.350,"Bkn"
"SG","Tyreke Evans",6400,"NO@Sac 10:30PM ET",0,"NO"
"SG","Zach LaVine",6300,"Min@Bkn 07:30PM ET",28.450,"Min"
"C","Jusuf Nurkic",6300,"Den@Mem 08:00PM ET",33.125,"Den"
"PG","Darren Collison",6200,"NO@Sac 10:30PM ET",0,"Sac"
"PG","Dennis Schroder",6100,"Atl@Cle 07:00PM ET",29.583,"Atl"
"SF","Andrew Wiggins",6000,"Min@Bkn 07:30PM ET",28.050,"Min"
"PG","Emmanuel Mudiay",6000,"Den@Mem 08:00PM ET",30.667,"Den"
"PG/SG","J.J. Barea",6000,"Dal@LAL 10:30PM ET",31.375,"Dal"
"SF","Chandler Parsons",5900,"Den@Mem 08:00PM ET",4.750,"Mem"
"SF","Danilo Gallinari",5800,"Den@Mem 08:00PM ET",26.208,"Den"
"PF/C","Nikola Jokic",5700,"Den@Mem 08:00PM ET",24.333,"Den"
"PG","Ricky Rubio",5600,"Min@Bkn 07:30PM ET",19.625,"Min"
"PG","Deron Williams",5600,"Dal@LAL 10:30PM ET",28.650,"Dal"
"SG/SF","Will Barton",5500,"Den@Mem 08:00PM ET",29.750,"Den"
"PF","Zach Randolph",5500,"Den@Mem 08:00PM ET",25.786,"Mem"
"PG","Kris Dunn",5400,"Min@Bkn 07:30PM ET",21.100,"Min"
"SG","Sean Kilpatrick",5400,"Min@Bkn 07:30PM ET",28.208,"Bkn"
"PF","Dirk Nowitzki",5300,"Dal@LAL 10:30PM ET",26.000,"Dal"
"PF","Terrence Jones",5200,"NO@Sac 10:30PM ET",19.417,"NO"
